"Java","","Java"
"Java Properties","","Java Properties"
"Java Server Pages","","Java Server Pages"
"JavaScript","","JavaScript"
"JavaScript+ERB","","JavaScript+ERB"
"Jison","","Jison"
"Jison Lex","","Jison Lex"
"Jolie","","Jolie"
"Jsonnet","","Jsonnet"
"Julia","","Julia"
"Jupyter Notebook","","Jupyter Notebook"
"KRL","","KRL"
"KiCad Layout","","KiCad Layout"
"KiCad Legacy Layout","","KiCad Legacy Layout"
"KiCad Schematic","","KiCad Schematic"
"Kit","","Kit"
"Kotlin","","Kotlin"
"LFE","","LFE"
"LLVM","","LLVM"
"LOLCODE","","LOLCODE"
"LSL","","LSL"
"LabVIEW","","LabVIEW"
"Lasso","","Lasso"
"Latte","","Latte"
"Lean","","Lean"
"Less","","Less"
"Lex","","Lex"
"LilyPond","","LilyPond"
"Limbo","","Limbo"
"Linker Script","","Linker Script"
"Linux Kernel Module","","Linux Kernel Module"
"Liquid","","Liquid"
"Literate Agda","","Literate Agda"
"Literate CoffeeScript","","Literate CoffeeScript"
"Literate Haskell","","Literate Haskell"
"LiveScript","","LiveScript"
"Logos","","Logos"
"Logtalk","","Logtalk"
"LookML","","LookML"
"LoomScript","","LoomScript"
"Lua","","Lua"
"M","","M"
"M4","","M4"
"M4Sugar","","M4Sugar"
"MATLAB","","MATLAB"
"MAXScript","","MAXScript"
"MLIR","","MLIR"
"MQL4","","MQL4"
"MQL5","","MQL5"
"MTML","","MTML"
"MUF","","MUF"
"Makefile","","Makefile"
"Mako","","Mako"
"Markdown","","Markdown"
"Marko","","Marko"
"Mask","","Mask"
"Mathematica","","Mathematica"
"Maven POM","","Maven POM"
"Max","","Max"
"MediaWiki","","MediaWiki"
"Mercury","","Mercury"
"Meson","","Meson"
"Metal","","Metal"
"MiniD","","MiniD"
"Mirah","","Mirah"
"Modelica","","Modelica"
"Modula-2","","Modula-2"
"Modula-3","","Modula-3"
"Module Management System","","Module Management System"
"Monkey","","Monkey"
"Moocode","","Moocode"
"MoonScript","","MoonScript"
"Motorola 68K Assembly","","Motorola 68K Assembly"
"Myghty","","Myghty"
"NCL","","NCL"
"NL","","NL"
"NSIS","","NSIS"
"Nearley","","Nearley"
"Nemerle","","Nemerle"
"NetLinx","","NetLinx"
"NetLinx+ERB","","NetLinx+ERB"
"NetLogo","","NetLogo"
"NewLisp","","NewLisp"
"Nextflow","","Nextflow"
"Nginx","","Nginx"
"Nim","","Nim"
"Ninja","","Ninja"
"Nit","","Nit"
"Nix","","Nix"
"Nu","","Nu"
"NumPy","","NumPy"
"OCaml","","OCaml"
"ObjDump","","ObjDump"
"ObjectScript","","ObjectScript"
"Objective-C","","Objective-C"
"Objective-C++","","Objective-C++"
"Objective-J","","Objective-J"
"Omgrofl","","Omgrofl"
"Opa","","Opa"
"Opal","","Opal"
"OpenCL","","OpenCL"
"OpenEdge ABL","","OpenEdge ABL"
"OpenRC runscript","","OpenRC runscript"
"OpenSCAD","","OpenSCAD"
"OpenType Feature File","","OpenType Feature File"
"Org","","Org"
"Ox","","Ox"
"Oxygene","","Oxygene"
"Oz","","Oz"
"P4","","P4"
"PHP","","PHP"
"PLSQL","","PLSQL"
"PLpgSQL","","PLpgSQL"
"POV-Ray SDL","","POV-Ray SDL"
"Pan","","Pan"
"Papyrus","","Papyrus"
"Parrot","","Parrot"
"Parrot Assembly","","Parrot Assembly"
"Parrot Internal Representation","","Parrot Internal Representation"
"Pascal","","Pascal"
"Pawn","","Pawn"
"Pep8","","Pep8"
"Perl","","Perl"
"Perl 6","","Perl 6"
"Pic","","Pic"
"Pickle","","Pickle"
"PicoLisp","","PicoLisp"
"PigLatin","","PigLatin"
"Pike","","Pike"
"Pod","","Pod"
"Pod 6","","Pod 6"
"PogoScript","","PogoScript"
"Pony","","Pony"
"PostCSS","","PostCSS"
"PostScript","","PostScript"
"PowerBuilder","","PowerBuilder"
"PowerShell","","PowerShell"
"Processing","","Processing"
"Prolog","","Prolog"
"Propeller Spin","","Propeller Spin"
"Protocol Buffer","","Protocol Buffer"
"Public Key","","Public Key"
"Pug","","Pug"
"Puppet","","Puppet"
"Pure Data","","Pure Data"
"PureBasic","","PureBasic"
"PureScript","","PureScript"
"Python","","Python"
"Python console","","Python console"
"Python traceback","","Python traceback"
"QML","","QML"
"QMake","","QMake"
"Quake","","Quake"
"R","","R"
"RAML","","RAML"
"RDoc","","RDoc"
"REALbasic","","REALbasic"
"REXX","","REXX"
"RHTML","","RHTML"
"RMarkdown","","RMarkdown"
"RPC","","RPC"
"RPM Spec","","RPM Spec"
"RUNOFF","","RUNOFF"
"Racket","","Racket"
"Ragel","","Ragel"
"Rascal","","Rascal"
"Raw token data","","Raw token data"
"Reason","","Reason"
"Rebol","","Rebol"
"Red","","Red"
"Redcode","","Redcode"
"Regular Expression","","Regular Expression"
"Ren'Py","","Ren'Py"
"RenderScript","","RenderScript"
"Rich Text Format","","Rich Text Format"
"Ring","","Ring"
"RobotFramework","","RobotFramework"
"Roff","","Roff"
"Roff Manpage","","Roff Manpage"
"Rouge","","Rouge"
"Ruby","","Ruby"
"Rust","","Rust"
"SAS","","SAS"
"SCSS","","SCSS"
"SMT","","SMT"
"SPARQL","","SPARQL"
"SQF","","SQF"
"SQL","","SQL"
"SQLPL","","SQLPL"
"SRecode Template","","SRecode Template"
"SSH Config","","SSH Config"
"STON","","STON"
"SVG","","SVG"
"Sage","","Sage"
"SaltStack","","SaltStack"
"Sass","","Sass"
"Scala","","Scala"
"Scaml","","Scaml"
"Scheme","","Scheme"
"Scilab","","Scilab"
"Self","","Self"
"ShaderLab","","ShaderLab"
"Shell","","Shell"
"ShellSession","","ShellSession"
"Shen","","Shen"
"Slash","","Slash"
"Slice","","Slice"
"Slim","","Slim"
"SmPL","","SmPL"
"Smali","","Smali"
"Smalltalk","","Smalltalk"
"Smarty","","Smarty"
"Solidity","","Solidity"
"SourcePawn","","SourcePawn"
"Spline Font Database","","Spline Font Database"
"Squirrel","","Squirrel"
"Stan","","Stan"
"Standard ML","","Standard ML"
"Stata","","Stata"
"Stylus","","Stylus"
"SubRip Text","","SubRip Text"
"SugarSS","","SugarSS"
"SuperCollider","","SuperCollider"
"Swift","","Swift"
"SystemVerilog","","SystemVerilog"
"TI Program","","TI Program"
"TLA","","TLA"
"TOML","","TOML"
"TSQL","","TSQL"
"TSX","","TSX"
"TXL","","TXL"
"Tcl","","Tcl"
"Tcsh","","Tcsh"
"TeX","","TeX"
"Tea","","Tea"
"Terra","","Terra"
"Text","","Text"
"Textile","","Textile"
"Thrift","","Thrift"
"Turing","","Turing"
"Turtle","","Turtle"
"Twig","","Twig"
"Type Language","","Type Language"
"TypeScript","","TypeScript"
"Unified Parallel C","","Unified Parallel C"
"Unity3D Asset","","Unity3D Asset"
"Unix Assembly","","Unix Assembly"
"Unknown languages","","Unknown languages"
"Uno","","Uno"
"UnrealScript","","UnrealScript"
"UrWeb","","UrWeb"
"V","","V"
"VCL","","VCL"
"VHDL","","VHDL"
"Vala","","Vala"
"Verilog","","Verilog"
"Vim script","","Vim script"
"Visual Basic","","Visual Basic"
"Volt","","Volt"
"Vue","","Vue"
"Wavefront Material","","Wavefront Material"
"Wavefront Object","","Wavefront Object"
"Web Ontology Language","","Web Ontology Language"
"WebAssembly","","WebAssembly"
"WebIDL","","WebIDL"
"WebVTT","","WebVTT"
"Windows Registry Entries","","Windows Registry Entries"
"Wollok","","Wollok"
"World of Warcraft Addon Data","","World of Warcraft Addon Data"
"X BitMap","","X BitMap"
"X Font Directory Index","","X Font Directory Index"
"X PixMap","","X PixMap"
"X10","","X10"
"XC","","XC"
"XCompose","","XCompose"
"XML","","XML"
"XPages","","XPages"
"XProc","","XProc"
"XQuery","","XQuery"
"XS","","XS"
"XSLT","","XSLT"
"Xojo","","Xojo"
"Xtend","","Xtend"
"YAML","","YAML"
"YANG","","YANG"
"YARA","","YARA"
"YASnippet","","YASnippet"
"Yacc","","Yacc"
"ZAP","","ZAP"
"ZIL","","ZIL"
"Zeek","","Zeek"
"Zeek","","Zeek"
"ZenScript","","ZenScript"
"Zephir","","Zephir"
"Zig","","Zig"
"Zimpl","","Zimpl"
"desktop","","desktop"
"eC","","eC"
"edn","","edn"
"fish","","fish"
"mcfunction","","mcfunction"
"mupad","","mupad"
"nanorc","","nanorc"
"nesC","","nesC"
"ooc","","ooc"
"q","","q"
"reStructuredText","","reStructuredText"
"sed","","sed"
"wdl","","wdl"
"wisp","","wisp"
"xBase","","xBase"
